timestamp,date,time,state_QQQ,action_QQQ,totalQuantity_QQQ,avgPrice_QQQ,commission_QQQ,reg_exec_QQQ ,mktPrice_QQQ ,AvailableFunds,ExcessLiquidity,BuyingPower,Leverage,EquityWithLoanValue,TotalCashValue,NetDividend,NetLiquidation,UnrealizedPnL,RealizedPnL,GrossPositionValue,position_QQQ,marketPrice_QQQ,averageCost_QQQ,marketValue_QQQ,realizedPNL_QQQ,unrealizedPNL_QQQ,initMarginReq_QQQ,maintMarginReq_QQQ,costBasis_QQQ
1444780800,2015-10-14,00:00:00,,,,,,False,100.57676749741644,465723.17103519855,472378.6584512143,3104821.140234657,0.999864668235809,539269.1034054566,72.9802391375415,0,539269.1034054566,-20088.53364172706,-44041.37741865596,539196.1231663191,5357,100.6526270611012,104.40258667314652,539196.1231663191,-44041.37741865596,-20088.53364172706,73545.93237025807,66890.44495424232,559284.6568080462
1444867200,2015-10-15,00:00:00,,,,,,False,100.78535640882592,465316.7913525394,471972.27876855514,3102111.942350263,0.9998645661762734,538862.7237227975,72.9802391375415,0,538862.7237227975,-20494.91332438623,-44041.37741865596,538789.7434836599,5357,100.57676749741644,104.40258667314652,538789.7434836599,-44041.37741865596,-20494.91332438623,73545.93237025807,66890.44495424232,559284.6568080462
1444953600,2015-10-16,00:00:00,,,,,,False,102.28308948826025,466434.2021509599,473089.6895669757,3109561.347673066,0.9998648464369856,539980.134521218,72.9802391375415,0,539980.134521218,-19377.502525965683,-44041.37741865596,539907.1542820805,5357,100.78535640882592,104.40258667314652,539907.1542820805,-44041.37741865596,-19377.502525965683,73545.93237025807,66890.44495424232,559284.6568080462
1445212800,2015-10-19,00:00:00,,,,,,False,102.3589292014007,474457.55825748964,481113.0456735054,3163050.388383264,0.999866825229427,548003.4906277477,72.9802391375415,0,548003.4906277477,-11354.146419435972,-44041.37741865596,547930.5103886102,5357,102.28308948826025,104.40258667314652,547930.5103886102,-44041.37741865596,-11354.146419435972,73545.93237025807,66890.44495424232,559284.6568080462
1445299200,2015-10-20,00:00:00,,,,,,False,102.89925697465144,474863.831600783,481519.31901679875,3165758.8773385533,0.999866923888063,548409.7639710411,72.9802391375415,0,548409.7639710411,-10947.873076142627,-44041.37741865596,548336.7837319035,5357,102.3589292014007,104.40258667314652,548336.7837319035,-44041.37741865596,-10947.873076142627,73545.93237025807,66890.44495424232,559284.6568080462
1445385600,2015-10-21,00:00:00,,,,,,False,103.06986150477545,477758.36748208717,484413.85489810293,3185055.783213915,0.999867622583105,551304.2998523453,72.9802391375415,0,551304.2998523453,-8053.337194838445,-44041.37741865596,551231.3196132077,5357,102.89925697465144,104.40258667314652,551231.3196132077,-44041.37741865596,-8053.337194838445,73545.93237025807,66890.44495424232,559284.6568080462
1445472000,2015-10-22,00:00:00,,,,,,False,102.83289695918798,478672.29594996147,485327.78336597723,3191148.6396664097,0.99986784166948,552218.2283202196,72.9802391375415,0,552218.2283202196,-7139.408726964146,-44041.37741865596,552145.248081082,5357,103.06986150477545,104.40258667314652,552145.248081082,-44041.37741865596,-7139.408726964146,73545.93237025807,66890.44495424232,559284.6568080462
1445558400,2015-10-23,00:00:00,,,,,,False,106.79530903555928,477402.8768792494,484058.3642952652,3182685.8458616626,0.9998675371687672,550948.8092495075,72.9802391375415,0,550948.8092495075,-8408.827797676204,-44041.37741865596,550875.82901037,5357,102.83289695918798,104.40258667314652,550875.82901037,-44041.37741865596,-8408.827797676204,73545.93237025807,66890.44495424232,559284.6568080462
1445817600,2015-10-26,00:00:00,,,,,,False,106.83321750601856,498629.51837237057,505285.00578838633,3324196.789149137,0.9998724512926187,572175.4507426287,72.9802391375415,0,572175.4507426287,12817.813695444958,-44041.37741865596,572102.4705034911,5357,106.79530903555928,104.40258667314652,572102.4705034911,-44041.37741865596,12817.813695444958,73545.93237025807,66890.44495424232,559284.6568080462
1445904000,2015-10-27,00:00:00,,,,,,False,106.69101166372803,498832.59404862084,505488.0814646366,3325550.626990806,0.9998724965459586,572378.5264188789,72.9802391375415,0,572378.5264188789,13020.88937169523,-44041.37741865596,572305.5461797414,5357,106.83321750601856,104.40258667314652,572305.5461797414,-44041.37741865596,13020.88937169523,73545.93237025807,66890.44495424232,559284.6568080462
1445990400,2015-10-28,00:00:00,,,,,,False,107.3545672051517,498070.7973514705,504726.2847674863,3320471.982343137,0.999872326621418,571616.7297217286,72.9802391375415,0,571616.7297217286,12259.092674544896,-44041.37741865596,571543.749482591,5357,106.69101166372803,104.40258667314652,571543.749482591,-44041.37741865596,12259.092674544896,73545.93237025807,66890.44495424232,559284.6568080462
1446076800,2015-10-29,00:00:00,,,,,,False,107.59155166502292,501625.4643868771,508280.95180289284,3344169.7625791803,0.9998731156668274,575171.3967571352,72.9802391375415,0,575171.3967571352,15813.759709951468,-44041.37741865596,575098.4165179976,5357,107.3545672051517,104.40258667314652,575098.4165179976,-44041.37741865596,15813.759709951468,73545.93237025807,66890.44495424232,559284.6568080462
1446163200,2015-10-30,00:00:00,,,,,,False,107.96127354240502,502894.9901384073,509550.47755442304,3352633.2675893814,0.9998733951107774,576440.9225086654,72.9802391375415,0,576440.9225086654,17083.28546148166,-44041.37741865596,576367.9422695278,5357,107.59155166502292,104.40258667314652,576367.9422695278,-44041.37741865596,17083.28546148166,73545.93237025807,66890.44495424232,559284.6568080462
1446422400,2015-11-02,00:00:00,IBActionState.SUCCESS,IBAction.BUY_MKT_ORDER,31165,107.71481106968707,,False,107.71481106968707,504875.59023554315,511531.0776515589,3365837.268236954,0.99987382862448,578421.5226058012,72.9802391375415,0,578421.5226058012,19063.885558617534,-44041.37741865596,578348.5423666637,5357,107.96127354240502,104.40258667314652,578348.5423666637,-44041.37741865596,19063.885558617534,73545.93237025807,66890.44495424232,559284.6568080462
1446508800,2015-11-03,00:00:00,,,,,,False,108.4257631382324,62118.721330428845,108721.70058158756,414124.8088695256,6.816759646576781,577101.2231394509,-3356859.1067476603,0,577101.2231394509,17743.586092267185,-44041.37741865596,3933960.329887111,36522,107.71481106968707,107.22897825406177,3933960.329887111,-44041.37741865596,17743.586092267535,514982.50180902204,468379.5225578633,3916216.743794844
